state,answer_set,facility_name,independent_preference_for_dem_rep,count,n_respondents,pct_of_respondents
MA,all-surveys,"Middlesex County House of Corrections, MA",The Republican Party,12,33,0.36363636363636365
NY,all-surveys,"Suffolk County, NY ",Neither,12,28,0.42857142857142855
OH,all-surveys,"Lorain County, OH ",Neither,12,15,0.8
SC,all-surveys,"Richland County Glenn Detention Center, SC",Neither,12,31,0.3870967741935484
TN,all-surveys,"Sullivan County Jail, TN",The Republican Party,12,30,0.4
VA,all-surveys,"Chesapeake Correctional Center, VA",Neither,12,30,0.4
WI,all-surveys,"Brown County Jail, WI",The Republican Party,12,28,0.42857142857142855
CA,all-surveys,"Alameda County-Santa Rita, CA",Neither,11,18,0.6111111111111112
FL,all-surveys,"Lee County, FL",Neither,11,23,0.4782608695652174
FL,all-surveys,"Pinellas County Jail, FL",The Republican Party,11,26,0.4230769230769231
FL,all-surveys,Santa Rosa County FL,The Republican Party,11,23,0.4782608695652174
GA,all-surveys,"Athens Clarke County Jail, GA",Neither,11,25,0.44
GA,all-surveys,"Gwinnett County Sheriffs Office, GA",The Democratic Party,11,41,0.2682926829268293
MI,all-surveys,"Kent County, MI ",The Democratic Party,11,44,0.25
NC,all-surveys,"Mecklenburg County Sheriffs Office,  NC",The Republican Party,11,44,0.25
NJ,all-surveys,"Bergen County, NJ",Neither,11,22,0.5
NJ,all-surveys,"Hudson County Corrections Center, NJ",Neither,11,16,0.6875
NM,all-surveys,"Lea County Sheriff's Office, NM",Neither,11,17,0.6470588235294118
PA,all-surveys,"Berks County Jail, PA",Neither,11,28,0.39285714285714285
TX,all-surveys,"Johnson County, TX",Neither,11,20,0.55
TX,all-surveys,"MTC: Giles Dalby, TX",The Democratic Party,11,57,0.19298245614035087
VA,all-surveys,"Arlington County Detention Center, VA",Neither,11,19,0.5789473684210527
VA,all-surveys,"Chesapeake Correctional Center, VA",The Democratic Party,11,30,0.36666666666666664
VA,all-surveys,"Virginia Beach Correctional Facility, VA",The Republican Party,11,41,0.2682926829268293
WI,all-surveys,"Brown County Jail, WI",Neither,11,28,0.39285714285714285
WV,all-surveys,WV DCR Southwestern Regional Jail,Neither,11,25,0.44
AL,all-surveys,"Etowah County Jail, AL",Neither,10,20,0.5
CA,all-surveys,"Butte County, CA",Neither,10,22,0.45454545454545453
CA,all-surveys,"San Joaquin County Jail, CA",The Republican Party,10,29,0.3448275862068966
CO,all-surveys,"Mesa County, CO",The Democratic Party,10,42,0.23809523809523808
FL,all-surveys,"Escambia County Jail, FL",Neither,10,23,0.43478260869565216
FL,all-surveys,Santa Rosa County FL,Neither,10,23,0.43478260869565216
GA,all-surveys,"Gwinnett County Sheriffs Office, GA",The Republican Party,10,41,0.24390243902439024
