state,answer_set,facility_name,trump_dictator_first_day_opinion,count,n_respondents,pct_of_respondents
WA,all-surveys,"Spokane County Jail, WA",Definitely bad,14,67,0.208955223880597
WA,all-surveys,"Yakima County, WA",Definitely bad,14,79,0.17721518987341772
CA,all-surveys,"Butte County, CA",Probably bad,13,45,0.28888888888888886
CA,all-surveys,"Orange County, CA - Central Jail Complex",Definitely good,13,64,0.203125
FL,all-surveys,Santa Rosa County FL,Probably good,13,37,0.35135135135135137
FL,all-surveys,"Sarasota County, FL",Definitely bad,13,45,0.28888888888888886
IN,all-surveys,"Hamilton County Main Jail, IN",Definitely good,13,56,0.23214285714285715
MA,all-surveys,"Suffolk County Jail, MA",Probably bad,13,60,0.21666666666666667
NY,all-surveys,"Albany County Correctional Facility, NY",Probably bad,13,70,0.18571428571428572
NY,all-surveys,"Monroe County Sheriff's Department, NY",Definitely good,13,58,0.22413793103448276
OR,all-surveys,"Lincoln County, OR",Definitely bad,13,33,0.3939393939393939
PA,all-surveys,"Berks County Jail, PA",Probably bad,13,47,0.2765957446808511
UT,all-surveys,"Salt Lake City County, UT",Probably good,13,47,0.2765957446808511
VA,all-surveys,"Chesapeake Correctional Center, VA",Definitely bad,13,61,0.21311475409836064
VA,all-surveys,"Virginia Beach Correctional Facility, VA",Definitely bad,13,77,0.16883116883116883
WV,all-surveys,WV DCR Tygart Valley Regional Jail,Definitely good,13,36,0.3611111111111111
CA,all-surveys,"Butte County, CA",Definitely bad,12,45,0.26666666666666666
CA,all-surveys,"Orange County, CA - Central Jail Complex",Probably bad,12,64,0.1875
CO,all-surveys,"Mesa County, CO",Definitely bad,12,55,0.21818181818181817
FL,all-surveys,Santa Rosa County FL,Definitely good,12,37,0.32432432432432434
GA,all-surveys,"Gwinnett County Sheriffs Office, GA",Definitely bad,12,69,0.17391304347826086
GA,all-surveys,"Gwinnett County Sheriffs Office, GA",Definitely good,12,69,0.17391304347826086
IL,all-surveys,"Kane County, IL",Probably good,12,34,0.35294117647058826
IN,all-surveys,"Hamilton County Main Jail, IN",Probably bad,12,56,0.21428571428571427
MA,all-surveys,"Middlesex County House of Corrections, MA",Definitely good,12,50,0.24
MA,all-surveys,"Middlesex County House of Corrections, MA",Probably bad,12,50,0.24
MA,all-surveys,"Worcester County Jail, MA",Definitely good,12,47,0.2553191489361702
MI,all-surveys,"Kent County, MI ",Definitely bad,12,64,0.1875
NC,all-surveys,"Cumberland County, NC",Definitely bad,12,67,0.1791044776119403
NC,all-surveys,"Cumberland County, NC",Definitely good,12,67,0.1791044776119403
NC,all-surveys,"Cumberland County, NC",Probably bad,12,67,0.1791044776119403
NE,all-surveys,"Lancaster County, NE",Definitely bad,12,37,0.32432432432432434
NY,all-surveys,"Onondaga County-Justice Center, NY",Probably good,12,23,0.5217391304347826
OH,all-surveys,"Mahoning County Justice Center, OH",Definitely good,12,74,0.16216216216216217
PA,all-surveys,"Fayette County, PA",Probably good,12,26,0.46153846153846156
TX,all-surveys,"Collin County, TX ",Probably bad,12,49,0.24489795918367346
TX,all-surveys,"Potter County Detention, TX",Definitely bad,12,47,0.2553191489361702
TX,all-surveys,"Potter County Detention, TX",Probably bad,12,47,0.2553191489361702
VA,all-surveys,"Pamunkey Regional Jail, VA",Probably good,12,33,0.36363636363636365
WV,all-surveys,WV DCR Southwestern Regional Jail,Probably good,12,31,0.3870967741935484
CA,all-surveys,"Santa Barbara County, CA",Probably bad,11,50,0.22
FL,all-surveys,"Escambia County Jail, FL",Probably good,11,30,0.36666666666666664
FL,all-surveys,"Lee County, FL",Definitely bad,11,38,0.2894736842105263
FL,all-surveys,"Lee County, FL",Probably good,11,38,0.2894736842105263
GA,all-surveys,"Bibb County Jail, GA",Definitely good,11,38,0.2894736842105263
GA,all-surveys,"Cobb County, GA",Probably good,11,29,0.3793103448275862
IL,all-surveys,"Kane County, IL",Definitely bad,11,34,0.3235294117647059
MA,all-surveys,"Barnstable County Correctional Facility, MA",Definitely bad,11,23,0.4782608695652174
MA,all-surveys,"Essex County Middleton HOC, MA",Definitely good,11,56,0.19642857142857142
MA,all-surveys,"Norfolk County Jail, MA",Probably bad,11,22,0.5
MA,all-surveys,"Worcester County Jail, MA",Probably bad,11,47,0.23404255319148937
NC,all-surveys,"Mecklenburg County Sheriffs Office,  NC",Definitely good,11,62,0.1774193548387097
NE,all-surveys,"Lancaster County, NE",Probably good,11,37,0.2972972972972973
NM,all-surveys,"Chaves County Adult Detention Center, NM",Probably bad,11,26,0.4230769230769231
NY,all-surveys,"Erie County, NY",Definitely bad,11,40,0.275
NY,all-surveys,"Erie County, NY",Probably bad,11,40,0.275
NY,all-surveys,"Monroe County Sheriff's Department, NY",Probably bad,11,58,0.1896551724137931
NY,all-surveys,"Niagara County Correctional Facility, NY",Definitely bad,11,37,0.2972972972972973
OR,all-surveys,"Lincoln County, OR",Probably good,11,33,0.3333333333333333
PA,all-surveys,"Lebanon County, PA",Probably good,11,44,0.25
PA,all-surveys,"Lehigh County, PA",Definitely good,11,53,0.20754716981132076
PA,all-surveys,"Washington County, PA ",Probably good,11,44,0.25
PA,all-surveys,"Westmoreland County, PA",Definitely bad,11,55,0.2
TX,all-surveys,"Collin County, TX ",Definitely good,11,49,0.22448979591836735
TX,all-surveys,"Hunt County, TX",Probably good,11,21,0.5238095238095238
UT,all-surveys,"Salt Lake City County, UT",Definitely good,11,47,0.23404255319148937
VA,all-surveys,"Arlington County Detention Center, VA",Probably bad,11,27,0.4074074074074074
VA,all-surveys,"Western Regional, VA",Probably good,11,34,0.3235294117647059
WA,all-surveys,"Spokane County Jail, WA",Probably bad,11,67,0.16417910447761194
WV,all-surveys,WV DCR Central Regional Jail,Probably good,11,23,0.4782608695652174
WV,all-surveys,WV DCR North Central Regional Jail,Definitely bad,11,69,0.15942028985507245
WV,all-surveys,WV DCR Southwestern Regional Jail,Definitely good,11,31,0.3548387096774194
WV,all-surveys,WV DCR Western Regional Jail,Probably good,11,28,0.39285714285714285
AL,all-surveys,"Etowah County Jail, AL",Probably good,10,26,0.38461538461538464
CA,all-surveys,"Butte County, CA",Definitely good,10,45,0.2222222222222222
CA,all-surveys,"Madera County, CA",Definitely bad,10,42,0.23809523809523808
CA,all-surveys,"Madera County, CA",Definitely good,10,42,0.23809523809523808
CA,all-surveys,"San Joaquin County Jail, CA",Probably bad,10,71,0.14084507042253522
GA,all-surveys,"Dekalb County Jail, GA",Probably good,10,31,0.3225806451612903
MA,all-surveys,"Bristol County House of Correction, MA",Definitely good,10,46,0.21739130434782608
MA,all-surveys,"Bristol County House of Correction, MA",Probably bad,10,46,0.21739130434782608
MA,all-surveys,"Essex County Middleton HOC, MA",Definitely bad,10,56,0.17857142857142858
MA,all-surveys,"Suffolk County Jail, MA",Definitely good,10,60,0.16666666666666666
MI,all-surveys,"Macomb County, MI",Definitely bad,10,50,0.2
NY,all-surveys,"Albany County Correctional Facility, NY",Definitely good,10,70,0.14285714285714285
NY,all-surveys,"Erie County, NY",Probably good,10,40,0.25
PA,all-surveys,"Berks County Jail, PA",Definitely good,10,47,0.2127659574468085
PA,all-surveys,"Delaware County, PA",Probably bad,10,23,0.43478260869565216
PA,all-surveys,"Montgomery County Correctional Facility, PA",Definitely bad,10,52,0.19230769230769232
TX,all-surveys,"Collin County, TX ",Definitely bad,10,49,0.20408163265306123
TX,all-surveys,"McLennan County, TX",Definitely bad,10,50,0.2
TX,all-surveys,"McLennan County, TX",Definitely good,10,50,0.2
TX,all-surveys,"McLennan County, TX",Probably bad,10,50,0.2
UT,all-surveys,"Beaver County, UT",Definitely good,10,28,0.35714285714285715
VA,all-surveys,"Western Regional, VA",Probably bad,10,34,0.29411764705882354
AZ,all-surveys,"Yavapai County Jail, AZ",Definitely good,9,21,0.42857142857142855
CO,all-surveys,"Douglas Detention Center, CO",Probably bad,9,32,0.28125
CO,all-surveys,"Larimer County, CO",Definitely bad,9,26,0.34615384615384615
GA,all-surveys,"Athens Clarke County Jail, GA",Probably bad,9,46,0.1956521739130435
GA,all-surveys,"Thomas County Detention, GA",Probably good,9,18,0.5
MA,all-surveys,"Plymouth County Correctional Facility, MA",Probably good,9,28,0.32142857142857145
MI,all-surveys,"Kalamazoo County, MI",Probably good,9,19,0.47368421052631576
MI,all-surveys,"Macomb County, MI",Definitely good,9,50,0.18
MT,all-surveys,"Missoula County, MT",Definitely good,9,19,0.47368421052631576
NM,all-surveys,"Luna County Detention Center, NM",Definitely bad,9,24,0.375
OH,all-surveys,"Summit County, OH",Probably bad,9,29,0.3103448275862069
OH,all-surveys,"Summit County, OH",Probably good,9,29,0.3103448275862069
PA,all-surveys,"Berks County Jail, PA",Probably good,9,47,0.19148936170212766
PA,all-surveys,"Lehigh County, PA",Definitely bad,9,53,0.16981132075471697
PA,all-surveys,"Washington County, PA ",Definitely bad,9,44,0.20454545454545456
PA,all-surveys,"Washington County, PA ",Probably bad,9,44,0.20454545454545456
PA,all-surveys,"Westmoreland County, PA",Probably bad,9,55,0.16363636363636364
TX,all-surveys,"GEO Group-Kinney County, TX",Probably good,9,15,0.6
TX,all-surveys,"Johnson County, TX",Definitely good,9,36,0.25
UT,all-surveys,"Beaver County, UT",Definitely bad,9,28,0.32142857142857145
VA,all-surveys,"Roanoke City Adult Detention Center, VA",Definitely bad,9,40,0.225
VA,all-surveys,"Western Regional, VA",Definitely good,9,34,0.2647058823529412
WI,all-surveys,"Rock County, WI",Probably good,9,26,0.34615384615384615
WV,all-surveys,WV DCR South Central Regional Jail,Probably good,9,24,0.375
AZ,all-surveys,"Apache County Jail, AZ",Definitely bad,8,19,0.42105263157894735
AZ,all-surveys,"Pinal County Jail, AZ",Definitely good,8,31,0.25806451612903225
AZ,all-surveys,"Pinal County Jail, AZ",Probably bad,8,31,0.25806451612903225
CA,all-surveys,"Butte County, CA",Probably good,8,45,0.17777777777777778
CA,all-surveys,"Santa Barbara County, CA",Definitely good,8,50,0.16
CO,all-surveys,"Larimer County, CO",Probably good,8,26,0.3076923076923077
CO,all-surveys,"Pueblo County, CO",Definitely good,8,60,0.13333333333333333
FL,all-surveys,"Lee County, FL",Definitely good,8,38,0.21052631578947367
FL,all-surveys,"Lee County, FL",Probably bad,8,38,0.21052631578947367
GA,all-surveys,"Columbia County Detention Center, GA",Probably good,8,20,0.4
IA,all-surveys,"Polk County, IA ",Definitely bad,8,29,0.27586206896551724
IA,all-surveys,"Polk County, IA ",Probably good,8,29,0.27586206896551724
IL,all-surveys,"Madison County, IL",Probably bad,8,17,0.47058823529411764
IN,all-surveys,"Boone County, IN",Probably good,8,21,0.38095238095238093
IN,all-surveys,"Hamilton County Main Jail, IN",Definitely bad,8,56,0.14285714285714285
MA,all-surveys,"Bristol County House of Correction, MA",Definitely bad,8,46,0.17391304347826086
MA,all-surveys,"Middlesex County House of Corrections, MA",Definitely bad,8,50,0.16
MA,all-surveys,"Plymouth County Correctional Facility, MA",Definitely good,8,28,0.2857142857142857
MA,all-surveys,"Worcester County Jail, MA",Definitely bad,8,47,0.1702127659574468
MO,all-surveys,"Cape Girardeau County Jail, MO",Definitely bad,8,44,0.18181818181818182
MO,all-surveys,"St. Louis County Jail, MO",Definitely good,8,65,0.12307692307692308
NE,all-surveys,"Lancaster County, NE",Probably bad,8,37,0.21621621621621623
NE,all-surveys,"Scotts Bluff County Detention Center, NE",Probably good,8,23,0.34782608695652173
NM,all-surveys,"Luna County Detention Center, NM",Probably good,8,24,0.3333333333333333
NY,all-surveys,"Chautauqua County, NY",Probably bad,8,24,0.3333333333333333
NY,all-surveys,"Erie County, NY",Definitely good,8,40,0.2
NY,all-surveys,"Monroe County Sheriff's Department, NY",Definitely bad,8,58,0.13793103448275862
NY,all-surveys,"Suffolk County, NY ",Definitely good,8,44,0.18181818181818182
NY,all-surveys,"Suffolk County, NY ",Probably bad,8,44,0.18181818181818182
OH,all-surveys,"Medina County Jail, OH",Probably good,8,12,0.6666666666666666
PA,all-surveys,"Fayette County, PA",Definitely good,8,26,0.3076923076923077
PA,all-surveys,"Franklin County, PA",Probably bad,8,24,0.3333333333333333
PA,all-surveys,"Lebanon County, PA",Definitely good,8,44,0.18181818181818182
SC,all-surveys,"Richland County Glenn Detention Center, SC",Probably good,8,22,0.36363636363636365
TX,all-surveys,"Wichita County, TX ",Probably good,8,26,0.3076923076923077
UT,all-surveys,"Salt Lake City County, UT",Probably bad,8,47,0.1702127659574468
VA,all-surveys,"Pamunkey Regional Jail, VA",Probably bad,8,33,0.24242424242424243
WI,all-surveys,"Dodge County, WI",Probably good,8,25,0.32
WI,all-surveys,"Rock County, WI",Definitely bad,8,26,0.3076923076923077
AL,all-surveys,"Etowah County Jail, AL",Definitely good,7,26,0.2692307692307692
AL,all-surveys,"Riverside Regional, VA",Probably bad,7,23,0.30434782608695654
CA,all-surveys,"Sonoma County, CA",Probably bad,7,16,0.4375
CA,all-surveys,"Tehama County, CA",Definitely good,7,11,0.6363636363636364
CA,all-surveys,"Yuba County, CA ",Definitely good,7,12,0.5833333333333334
CO,all-surveys,"Jefferson County Detention Facility, CO",Definitely bad,7,42,0.16666666666666666
FL,all-surveys,"Monroe County-Key West, FL",Definitely bad,7,16,0.4375
FL,all-surveys,"Nassau County, FL",Definitely good,7,13,0.5384615384615384
FL,all-surveys,Santa Rosa County FL,Probably bad,7,37,0.1891891891891892
FL,all-surveys,"Sarasota County, FL",Definitely good,7,45,0.15555555555555556
GA,all-surveys,"Bibb County Jail, GA",Probably bad,7,38,0.18421052631578946
GA,all-surveys,"Cobb County, GA",Definitely good,7,29,0.2413793103448276
GA,all-surveys,"Dekalb County Jail, GA",Definitely bad,7,31,0.22580645161290322
GA,all-surveys,"Dekalb County Jail, GA",Definitely good,7,31,0.22580645161290322
IA,all-surveys,"Polk County, IA ",Probably bad,7,29,0.2413793103448276
KY,all-surveys,"Lexington-Fayette County Detention Center, KY",Definitely bad,7,23,0.30434782608695654
KY,all-surveys,"Lexington-Fayette County Detention Center, KY",Probably good,7,23,0.30434782608695654
KY,all-surveys,"Madison County, KY",Probably good,7,18,0.3888888888888889
ME,all-surveys,"Two Bridges Regional, ME",Probably good,7,17,0.4117647058823529
MO,all-surveys,"Cape Girardeau County Jail, MO",Definitely good,7,44,0.1590909090909091
MO,all-surveys,"St. Louis County Jail, MO",Probably bad,7,65,0.1076923076923077
NC,all-surveys,Durham County NC - Detention Facility,Probably good,7,18,0.3888888888888889
NE,all-surveys,"Scotts Bluff County Detention Center, NE",Definitely good,7,23,0.30434782608695654
NJ,all-surveys,"Burlington County Department of Corrections, NJ",Definitely bad,7,20,0.35
NJ,all-surveys,"Hudson County Corrections Center, NJ",Definitely bad,7,16,0.4375
NM,all-surveys,"Chaves County Adult Detention Center, NM",Probably good,7,26,0.2692307692307692
NY,all-surveys,"Niagara County Correctional Facility, NY",Probably bad,7,37,0.1891891891891892
OH,all-surveys,"Columbiana County Jail, OH",Probably good,7,15,0.4666666666666667
