state,answer_set,facility_name,race,count,n_respondents,pct_of_respondents
GA,all-surveys,"Dekalb County Jail, GA",Black or African American,20,36,0.5555555555555556
IA,all-surveys,"Polk County, IA ",White,20,44,0.45454545454545453
MA,all-surveys,"Essex County Middleton HOC, MA",Hispanic or Latino,20,70,0.2857142857142857
MI,all-surveys,"Genesee County, MI",Black or African American,20,35,0.5714285714285714
NM,all-surveys,"Chaves County Adult Detention Center, NM",Hispanic or Latino,20,34,0.5882352941176471
NY,all-surveys,"Chautauqua County, NY",White,20,38,0.5263157894736842
NY,all-surveys,"Suffolk County, NY ",Black or African American,20,72,0.2777777777777778
OH,all-surveys,Corrections Center of NW Ohio,White,20,45,0.4444444444444444
OH,all-surveys,"Muskingum County, OH",White,20,28,0.7142857142857143
OH,all-surveys,"Portage County, OH",White,20,31,0.6451612903225806
TX,all-surveys,"Collin County, TX ",Black or African American,20,69,0.2898550724637681
TX,all-surveys,"MTC: Giles Dalby, TX",White,20,132,0.15151515151515152
TX,all-surveys,"McLennan County, TX",White,20,80,0.25
VA,all-surveys,"Pamunkey Regional Jail, VA",White,20,58,0.3448275862068966
CA,all-surveys,"Butte County, CA",White,19,55,0.34545454545454546
CO,all-surveys,"Pueblo County, CO",White,19,93,0.20430107526881722
FL,all-surveys,"Lee County, FL",White,19,61,0.3114754098360656
IL,all-surveys,"Kane County, IL",Hispanic or Latino,19,65,0.2923076923076923
IN,all-surveys,"La Port County Jail, IN",White,19,38,0.5
NC,all-surveys,"Cumberland County, NC",White,19,82,0.23170731707317074
NJ,all-surveys,"Burlington County Department of Corrections, NJ",Black or African American,19,47,0.40425531914893614
NY,all-surveys,"Monroe County Sheriff's Department, NY",White,19,84,0.2261904761904762
NY,all-surveys,"Pasco County Corrections, FL",Black or African American,19,146,0.13013698630136986
NY,all-surveys,"Suffolk County, NY ",White,19,72,0.2638888888888889
OH,all-surveys,"Cuyahoga County Justice Center, OH",Other,19,235,0.08085106382978724
OH,all-surveys,"Summit County, OH",White,19,48,0.3958333333333333
