state,answer_set,facility_name,age,count,n_respondents,pct_of_respondents
PA,all-surveys,"Montgomery County Correctional Facility, PA",46 - 55,6,93,0.06451612903225806
PA,all-surveys,"Northampton County Prison, PA",36 - 45,6,20,0.3
PA,all-surveys,"Northumberland County, PA",26 - 35,6,12,0.5
TN,all-surveys,"McMinn County Justice Center, TN",18 - 25,6,23,0.2608695652173913
TX,all-surveys,"GEO Group-Kinney County, TX",36 - 45,6,24,0.25
TX,all-surveys,"Jackson County, TX",36 - 45,6,10,0.6
TX,all-surveys,"Uvalde County, TX",36 - 45,6,12,0.5
VA,all-surveys,"Accommack County Jail, VA",36 - 45,6,13,0.46153846153846156
VA,all-surveys,"Pamunkey Regional Jail, VA",18 - 25,6,58,0.10344827586206896
VA,all-surveys,"Virginia Beach Correctional Facility, VA",56 - 65,6,109,0.05504587155963303
WI,all-surveys,"Rock County, WI",18 - 25,6,37,0.16216216216216217
WV,all-surveys,WV DCR Potomac Highlands Regional Jail,36 - 45,6,20,0.3
WV,all-surveys,WV DCR Southern Regional Jail,46 - 55,6,29,0.20689655172413793
