state,answer_set,facility_name,likely_to_vote_in_november_election,count,n_respondents,pct_of_respondents
PA,all-surveys,"Lackawana County, PA",Probably will vote,17,82,0.2073170731707317
TX,all-surveys,"Collin County, TX ",Definitely will not vote,17,52,0.3269230769230769
TX,all-surveys,"McLennan County, TX",Probably will not vote,17,56,0.30357142857142855
TX,all-surveys,"Potter County Detention, TX",Probably will not vote,17,52,0.3269230769230769
VA,all-surveys,"Virginia Beach Correctional Facility, VA",Definitely will vote,17,81,0.20987654320987653
WA,all-surveys,"Yakima County, WA",Definitely will not vote,17,86,0.19767441860465115
AZ,all-surveys,"Pima County Jail, AZ",Probably will vote,16,145,0.1103448275862069
CA,all-surveys,"Madera County, CA",Probably will not vote,16,44,0.36363636363636365
CO,all-surveys,"Denver County Jail, CO",Definitely will not vote,16,102,0.1568627450980392
CO,all-surveys,"Denver County Jail, CO",Probably will not vote,16,102,0.1568627450980392
MO,all-surveys,"Cape Girardeau County Jail, MO",Definitely will not vote,16,48,0.3333333333333333
NC,all-surveys,"Mecklenburg County Sheriffs Office,  NC",Definitely will vote,16,67,0.23880597014925373
NY,all-surveys,"Albany County Correctional Facility, NY",Definitely will vote,16,72,0.2222222222222222
NY,all-surveys,"Erie County, NY",Definitely will vote,16,46,0.34782608695652173
PA,all-surveys,"Berks County Jail, PA",Probably will not vote,16,49,0.32653061224489793
PA,all-surveys,"Dauphin County Jail, PA",Probably will vote,16,84,0.19047619047619047
PA,all-surveys,"Westmoreland County, PA",Probably will not vote,16,57,0.2807017543859649
PA,all-surveys,"Westmoreland County, PA",Probably will vote,16,57,0.2807017543859649
TX,all-surveys,"McLennan County, TX",Definitely will not vote,16,56,0.2857142857142857
CA,all-surveys,"Butte County, CA",Probably will not vote,15,45,0.3333333333333333
CA,all-surveys,"San Joaquin County Jail, CA",Probably will vote,15,74,0.20270270270270271
CA,all-surveys,"Santa Barbara County, CA",Definitely will vote,15,51,0.29411764705882354
CO,all-surveys,"Mesa County, CO",Probably will vote,15,60,0.25
CO,all-surveys,"Pueblo County, CO",Definitely will vote,15,63,0.23809523809523808
CO,all-surveys,"Pueblo County, CO",Probably will vote,15,63,0.23809523809523808
CO,all-surveys,"Weld County, CO",Probably will not vote,15,89,0.16853932584269662
MI,all-surveys,"Macomb County, MI",Probably will vote,15,54,0.2777777777777778
OH,all-surveys,"Mahoning County Justice Center, OH",Definitely will vote,15,74,0.20270270270270271
PA,all-surveys,"Lebanon County, PA",Definitely will vote,15,46,0.32608695652173914
PA,all-surveys,"Lehigh County, PA",Definitely will not vote,15,57,0.2631578947368421
VA,all-surveys,"Pamunkey Regional Jail, VA",Definitely will not vote,15,38,0.39473684210526316
WA,all-surveys,"Spokane County Jail, WA",Definitely will not vote,15,73,0.2054794520547945
CA,all-surveys,"Ventura County Sheriff's Office, CA",Definitely will not vote,14,71,0.19718309859154928
CA,all-surveys,"Ventura County Sheriff's Office, CA",Probably will vote,14,71,0.19718309859154928
FL,all-surveys,Santa Rosa County FL,Definitely will not vote,14,41,0.34146341463414637
IN,all-surveys,"Hamilton County Main Jail, IN",Probably will vote,14,61,0.22950819672131148
MA,all-surveys,"Bristol County House of Correction, MA",Probably will not vote,14,47,0.2978723404255319
MA,all-surveys,"Bristol County House of Correction, MA",Probably will vote,14,47,0.2978723404255319
MA,all-surveys,"Essex County Middleton HOC, MA",Definitely will not vote,14,60,0.23333333333333334
MA,all-surveys,"Essex County Middleton HOC, MA",Definitely will vote,14,60,0.23333333333333334
MA,all-surveys,"Middlesex County House of Corrections, MA",Definitely will not vote,14,53,0.2641509433962264
MA,all-surveys,"Suffolk County Jail, MA",Probably will vote,14,63,0.2222222222222222
MI,all-surveys,"Macomb County, MI",Probably will not vote,14,54,0.25925925925925924
MO,all-surveys,"Cape Girardeau County Jail, MO",Probably will not vote,14,48,0.2916666666666667
MO,all-surveys,"St. Louis County Jail, MO",Probably will not vote,14,72,0.19444444444444445
NY,all-surveys,"Niagara County Correctional Facility, NY",Probably will not vote,14,41,0.34146341463414637
NY,all-surveys,"Suffolk County, NY ",Definitely will vote,14,50,0.28
OR,all-surveys,"Lincoln County, OR",Probably will vote,14,34,0.4117647058823529
PA,all-surveys,"Dauphin County Jail, PA",Definitely will not vote,14,84,0.16666666666666666
PA,all-surveys,"Lebanon County, PA",Probably will not vote,14,46,0.30434782608695654
TX,all-surveys,"Johnson County, TX",Definitely will not vote,14,37,0.3783783783783784
VA,all-surveys,"Chesapeake Correctional Center, VA",Probably will vote,14,60,0.23333333333333334
AL,all-surveys,"Etowah County Jail, AL",Probably will not vote,13,32,0.40625
