state,answer_set,facility_name,party,count,n_respondents,pct_of_respondents
FL,all-surveys,"Escambia County Jail, FL",Independent,23,53,0.4339622641509434
GA,all-surveys,"Gwinnett County Sheriffs Office, GA",Republican,23,110,0.20909090909090908
IL,all-surveys,"Cook County, IL","Democrat, Independent",23,572,0.04020979020979021
MO,all-surveys,"St. Louis County Jail, MO",Republican,23,95,0.24210526315789474
NY,all-surveys,"New York City Department of Correction, NY (NYC DOC)",Independent,23,67,0.34328358208955223
PA,all-surveys,"Dauphin County Jail, PA",Democrat,23,117,0.19658119658119658
PA,all-surveys,"Montgomery County Correctional Facility, PA",Democrat,23,93,0.24731182795698925
TN,all-surveys,"Davidson County Detention Center, TN",Republican,23,119,0.19327731092436976
TN,all-surveys,"Sullivan County Jail, TN",Republican,23,88,0.26136363636363635
TX,all-surveys,"MTC: Giles Dalby, TX",Republican,23,130,0.17692307692307693
TX,all-surveys,"Potter County Detention, TX",Independent,23,77,0.2987012987012987
WV,all-surveys,WV DCR Southwestern Regional Jail,Independent,23,47,0.48936170212765956
CA,all-surveys,"Stanislaus County, CA",Democrat,22,171,0.1286549707602339
CA,all-surveys,"Ventura County Sheriff's Office, CA",Democrat,22,98,0.22448979591836735
CO,all-surveys,"Mesa County, CO",Republican,22,92,0.2391304347826087
DC,all-surveys,DC DOC: Central Detention Facility,Democrat,22,81,0.2716049382716049
FL,all-surveys,Santa Rosa County FL,Republican,22,60,0.36666666666666664
GA,all-surveys,"Athens Clarke County Jail, GA",Independent,22,66,0.3333333333333333
GA,all-surveys,"Cobb County, GA",Independent,22,59,0.3728813559322034
MI,all-surveys,"Kent County, MI ",Democrat,22,97,0.2268041237113402
NC,all-surveys,"Cumberland County, NC",Republican,22,84,0.2619047619047619
WA,all-surveys,"Whatcom County, WA - Main Jail",Independent,22,48,0.4583333333333333
WV,all-surveys,WV DCR Tygart Valley Regional Jail,Republican,22,59,0.3728813559322034
AZ,all-surveys,"Maricopa County Sheriff's Office, AZ","Independent, Other",21,872,0.02408256880733945
AZ,all-surveys,"Pinal County Jail, AZ",Independent,21,50,0.42
CO,all-surveys,"Jefferson County Detention Facility, CO",Republican,21,75,0.28
CO,all-surveys,"Larimer County, CO",Independent,21,46,0.45652173913043476
FL,all-surveys,"Lee County, FL",Independent,21,57,0.3684210526315789
GA,all-surveys,"Gwinnett County Sheriffs Office, GA",Democrat,21,110,0.19090909090909092
GA,all-surveys,"Gwinnett County Sheriffs Office, GA",Other,21,110,0.19090909090909092
IL,all-surveys,"Winnebago County, IL",Republican,21,156,0.1346153846153846
IN,all-surveys,"Hamilton County Main Jail, IN",Republican,21,97,0.21649484536082475
MA,all-surveys,"Bristol County House of Correction, MA",Independent,21,56,0.375
NY,all-surveys,"Suffolk County, NY ",Democrat,21,71,0.29577464788732394
PA,all-surveys,"Allegheny County Jail, PA",Independent,21,52,0.40384615384615385
PA,all-surveys,"Berks County Jail, PA",Independent,21,58,0.3620689655172414
PA,all-surveys,"Washington County, PA ",Independent,21,61,0.3442622950819672
TN,all-surveys,"Sullivan County Jail, TN",Other,21,88,0.23863636363636365
